Cited,Cited-by,Score
P02-1057,P13-1151,2
P03-1002,P07-1075,1
P03-1002,P13-1058,1
P03-1002,N04-1030,5
P03-1054,C04-1097,0
P03-1054,C04-1097,0
P03-1069,C04-1108,4
P03-1069,C10-2105,3
P03-1069,C10-2170,3
P03-1069,D07-1009,3
P03-1069,P04-1050,5
P03-1069,P13-2016,4
P04-1015,C08-2012,2
P04-1015,D07-1009,2
P04-1015,E06-1011,1
P04-1015,P05-1023,3
P04-1015,P06-1096,1
P04-1015,P11-1069,0
P04-1015,J07-4004,1
P04-1054,C08-1088,1
P04-1054,P06-1104,6
P04-1054,P08-2023,1
P06-1114,S12-1065,3
P06-1114,C10-1087,2
P06-1114,P08-1081,2
P07-1033,C08-1003,5
P07-1033,C10-1145,1
P07-1033,J11-3002,0
P07-1033,P10-2056,1
P07-1033,P13-2012,1
P07-1056,C08-1135,3
P07-1056,P08-2059,0
P07-1056,P08-2065,3
P07-1056,P11-1014,4
P08-2026,P11-2049,0
P09-1113,D10-1099,3
P09-1113,P12-1076,5
P09-1113,N13-1008,2
P11-2071,D12-1003,3
P11-2071,D12-1025,1
P11-2071,D13-1109,4
P11-2071,P13-2072,0
P94-1013,W95-0104,5
P95-1026,W99-0613,3
P95-1026,P02-1046,2
P95-1026,J04-3004,2
P95-1026,P01-1008,3
P95-1026,C08-1135,3
P95-1026,P07-1125,2
P96-1025,A00-2015,0
P96-1025,A97-1004,7
P96-1025,C00-1017,0
P96-1025,C00-1029,1
P96-1025,C00-1043,0
P96-1025,C00-1051,0
P96-1025,C00-2141,2
P96-1025,C00-2146,1
P96-1025,C02-1112,1
P96-1025,E03-1051,0
P96-1025,E06-1012,3
P96-1025,E09-1097,6
P96-1025,E99-1025,3
P96-1025,J06-2003,3
P96-1025,J08-3003,3
P96-1025,J11-3004,1
P96-1025,M98-1009,6
P96-1025,P10-1002,2
P96-1025,P11-2123,1
P97-1003,P98-1091,2
P97-1003,P98-1106,3
P97-1003,P98-2148,1
P97-1003,P98-2234,2
P97-1003,P99-1059,1
P97-1003,P99-1065,1
P97-1003,P00-1058,3
P97-1003,P00-1060,0
P97-1003,P00-1061,2
P97-1003,P00-1065,1
P97-1003,P02-1018,1
P97-1003,P02-1031,0
P97-1003,P02-1043,1
P97-1003,P03-1002,0
P97-1003,P03-1013,2
P97-1003,P03-1055,1
P97-1003,P04-1043,0
P97-1003,P04-1047,0
P97-1003,P04-1082,2
P97-1003,P05-1006,0
P97-1003,P05-1018,1
P97-1023,P02-1053,4
W01-0521,P04-1014,2
W01-0521,P06-1043,8
W01-0521,P10-1036,1
W01-0521,W05-1516,5
W01-0521,D09-1085,2
W02-1001,W03-0422,0
W02-1001,W04-0824,0
W02-1001,P12-1111,0
W02-1001,P13-4016,0
W02-1001,N03-1033,0
W02-1001,D13-1033,0
W02-1001,E06-1011,0
W03-0430,P04-1007,2
W03-0430,P05-1002,2
W03-0430,P05-1003,3
W03-0430,P05-1044,4
W03-0430,P06-1028,2
W03-0430,P06-1078,2
W03-0430,P08-1056,2
W03-0430,P08-1081,2
W03-0430,P10-1136,2
W03-0430,P12-1055,2
W03-0430,W04-0705,1
W03-0430,W04-1221,6
W03-0430,W04-3230,3
W03-0430,W04-3234,2
W04-2405,E12-1017,4
W04-3103,P07-1125,2
W04-3111,D07-1112,0
W04-3111,D07-1128,1
W04-3111,D07-1119,0
W04-3111,W08-0605,3
W04-3111,D07-1126,0
W04-3111,W08-0504,0
W04-3111,P10-1089,0
W04-3111,P07-1031,2
W04-3111,P09-1117,2
W04-3111,I05-2038,2
W04-3252,C08-1040,0
W06-1615,P07-1056,11
W07-1412,E12-1004,1
W07-1412,P08-1118,1
W07-1412,P12-1047,0
W07-1412,W09-2501,1
W07-1412,W10-1609,1
W07-1412,W11-0135,1
W07-1412,W11-2404,1
W09-0404,N10-1045,1
W09-0404,W11-2112,1
W96-0213,A00-1031,2
W96-0213,A00-2013,3
W96-0213,A00-2020,3
W96-0213,A97-1004,6
W96-0213,E03-1002,4
W96-0213,J01-3003,1
W96-0213,N04-1013,1
W96-0213,W02-0301,3
W96-0213,W03-0424,6
W96-0213,W03-0428,4
W96-0213,P02-1055,6
W96-0213,P99-1023,5
W97-0703,W00-1438,1
W97-0710,P04-3020,0
W99-0613,P01-1008,3
W99-0613,P02-1046,5
W99-0613,W11-0319,4
W99-0613,W09-1116,2
W99-0613,P07-1125,2
W06-2925,D07-1101,7
W06-2925,D08-1059,3
W06-2925,J08-3003,6
W06-2925,J11-1005,1
W06-2925,N12-1032,2
W06-2925,P10-1002,3
W06-2925,W07-2217,7
W03-0428,D07-1016,1
W03-0428,D08-1003,0
W03-0428,D11-1144,2
W03-0428,P05-1001,1
W03-0428,P05-2023,1
W03-0428,P09-1116,3
W03-0428,P11-3019,3
W03-0428,W07-1712,0
C00-2105,D07-1091,0
P04-1084,C08-2026,1
P04-1084,C10-2157,1
P04-1084,D07-1078,0
P04-1084,P04-1083,2
P04-1084,P06-1123,0
P04-1084,P10-1146,0
P05-1045,C10-1064,1
P05-1045,C10-1083,0
P05-1045,C10-1087,0
P05-1045,C10-1091,0
P05-1045,C10-1105,1
P05-1045,C10-1131,2
P05-1045,C10-2058,0
P05-1045,C10-2078,1
P05-1045,C10-3011,0
P05-1045,D07-1033,1
P05-1045,D08-1035,1
P05-1045,D09-1016,1
P05-1045,D09-1057,0
P05-1045,D09-1101,1
P05-1045,D09-1119,1
P05-1045,D09-1120,0
P05-1045,D09-1158,0
P05-1045,D10-1048,0
P05-1045,D10-1099,2
P05-1045,D11-1034,0
P05-1045,D11-1072,1
P05-1045,D11-1075,1
P05-1045,D11-1135,2
P05-1045,D11-1141,1
P05-1045,D11-1144,0
P05-1045,D12-1009,2
P05-1045,D12-1042,2
P05-1045,D12-1072,3
P05-1045,D12-1076,1
P05-1045,D12-1080,1
P05-1045,D12-1092,0
P05-1045,D12-1131,1
P05-1045,D13-1040,1
P05-1045,D13-1042,1
P05-1045,D13-1043,1
P05-1045,D13-1103,0
P05-1045,D13-1117,1
P05-1045,D13-1136,1
P05-1045,D13-1142,0
P05-1045,D13-1159,1
P05-1045,D13-1178,0
P05-1045,D13-1191,1
P05-1045,E09-1007,0
P05-1045,E09-1011,0
P05-1045,E09-1037,0
P05-1045,E09-1091,1
P05-1045,E12-1029,0
P05-1045,E12-1033,0
P05-1045,E12-1054,1
P05-1045,I08-4013,1
P05-1045,I08-5014,1
P05-1045,I08-6004,0
P05-1045,J11-1002,0
P05-1045,J12-4004,0
P05-1045,J13-2001,1
P05-1045,L08-1267,0
P05-1045,L08-1328,0
P05-1045,L08-1584,0
P05-1045,N06-1054,2
P05-1045,N07-1009,1
P05-1045,N07-1011,1
P05-1045,N07-1042,1
P05-1045,N07-2046,1
P05-1045,N09-1037,2
P05-1045,N09-1068,1
P05-1045,N10-1068,0
P05-1045,N10-1072,1
P05-1045,N10-1117,1
P05-1045,N10-1121,1
P05-1045,N12-1008,1
P05-1045,N12-1013,2
P05-1045,N12-1065,1
P05-1045,N12-1080,0
P05-1045,N12-1084,0
P05-1045,N12-1085,1
P05-1045,N13-1006,1
P05-1045,N13-1007,0
P05-1045,N13-1037,0
P05-1045,N13-1059,0
P05-1045,N13-1063,0
P05-1045,P06-1059,2
P05-1045,P06-1089,1
P05-1045,P06-1141,4
P05-1045,P06-2054,2
P05-1045,P08-1031,1
P05-1045,P08-2012,0
P05-1045,P08-4003,0
P05-1045,P09-1113,1
P05-1045,P09-2041,0
P05-1045,P10-1015,0
P05-1045,P10-1056,1
P05-1045,P10-1148,1
P05-1045,P10-2029,0
P05-1045,P10-2049,0
P05-1045,P11-1037,2
P05-1045,P11-1082,1
P05-1045,P11-1113,1
P05-1045,P11-1114,0
P05-1045,P11-3004,1
P05-1045,P12-1042,0
P05-1045,P12-1072,2
P05-1045,P12-1073,2
P05-1045,P12-1075,2
P05-1045,P12-1087,0
P05-1045,P12-1089,1
P05-1045,P12-2013,0
P05-1045,P12-2024,1
P05-1045,P12-2064,0
P05-1045,P12-2069,0
P05-1045,P12-3003,1
P05-1045,P12-3013,0
P05-1045,P13-1106,3
P05-1045,P13-1129,1
P05-1045,P13-1146,1
P05-1045,P13-1166,0
P05-1045,P13-2036,1
P05-1045,P13-2116,0
P05-1045,P13-2128,0
P05-1045,P13-2141,1
P05-1045,P13-4023,1
P05-1045,Q13-1028,0
P05-1045,S10-1020,1
P05-1045,S12-1035,0
P05-1045,S12-1082,1
P05-1045,S12-1085,0
P05-1045,S13-1010,0
P05-1045,S13-1014,1
P05-1045,S13-1018,0
P05-1045,S13-1021,0
P05-1045,S13-1023,0
P05-1045,W06-1643,3
P05-1045,W06-1655,4
P05-1045,W09-0422,0
P05-1045,W09-1119,0
P05-1045,W09-1218,1
P05-1045,W10-0725,0
P05-1045,W10-1902,1
P05-1045,W10-2420,1
P05-1045,W10-2906,0
P05-1045,W10-3102,0
P05-1045,W11-0219,0
P05-1045,W11-0810,0
P05-1045,W11-0902,2
P05-1045,W11-1513,1
P05-1045,W11-1723,1
P05-1045,W11-1907,1
P05-1045,W11-1908,1
P05-1045,W11-2202,3
P05-1045,W11-2705,0
P05-1045,W12-0102,0
P05-1045,W12-0103,0
P05-1045,W12-0604,0
P05-1045,W12-2007,1
P05-1045,W12-2408,1
P05-1045,W12-2903,0
P05-1045,W12-3109,0
P05-1045,W13-0905,0
P05-1045,W13-1101,0
P05-1045,W13-2114,0
P05-1045,W13-2234,0
P05-1045,W13-2414,1
P05-1045,W13-3516,0
P05-1045,W13-3616,0
P05-1045,W13-4008,0
P05-1045,C10-1064,1
P05-1045,C10-1083,0
P05-1045,C10-1087,0
P05-1045,C10-1091,0
P05-1045,C10-1105,1
P05-1045,C10-1131,2
P05-1045,C10-2058,0
P05-1045,C10-2078,1
P05-1045,C10-3011,0
P05-1045,D07-1033,1
P05-1045,D08-1035,1
P05-1045,D09-1016,1
P05-1045,D09-1057,0
P05-1045,D09-1101,1
P05-1045,D09-1119,1
P05-1045,D09-1120,0
P05-1045,D09-1158,0
P05-1045,D10-1048,0
P05-1045,D10-1099,2
P05-1045,D11-1034,0
P05-1045,D11-1072,1
P05-1045,D11-1075,1
P05-1045,D11-1135,2
P05-1045,D11-1141,1
P05-1045,D11-1144,0
P05-1045,D12-1009,2
P05-1045,D12-1042,2
P05-1045,D12-1072,3
P05-1045,D12-1076,1
P05-1045,D12-1080,1
P05-1045,D12-1092,0
P05-1045,D12-1131,1
P05-1045,D13-1040,1
P05-1045,D13-1042,1
P05-1045,D13-1043,1
P05-1045,D13-1103,0
P05-1045,D13-1117,1
P05-1045,D13-1136,1
P05-1045,D13-1142,0
P05-1045,D13-1159,1
P05-1045,D13-1178,0
P05-1045,D13-1191,1
P05-1045,E09-1007,0
P05-1045,E09-1011,0
P05-1045,E09-1037,0
P05-1045,E09-1091,1
P05-1045,E12-1029,0
P05-1045,E12-1033,0
P05-1045,E12-1054,1
P05-1045,I08-4013,1
P05-1045,I08-5014,1
P05-1045,I08-6004,0
P05-1045,J11-1002,0
P05-1045,J12-4004,0
P05-1045,J13-2001,1
P05-1045,L08-1267,0
P05-1045,L08-1328,0
P05-1045,L08-1584,0
P05-1045,N06-1054,2
P05-1045,N07-1009,1
P05-1045,N07-1011,1
P05-1045,N07-1042,1
P05-1045,N07-2046,1
P05-1045,N09-1037,2
P05-1045,N09-1068,1
P05-1045,N10-1068,0
P05-1045,N10-1072,1
P05-1045,N10-1117,1
P05-1045,N10-1121,1
P05-1045,N12-1008,1
P05-1045,N12-1013,2
P05-1045,N12-1065,1
P05-1045,N12-1080,0
P05-1045,N12-1084,0
P05-1045,N12-1085,1
P05-1045,N13-1006,1
P05-1045,N13-1007,0
P05-1045,N13-1037,0
P05-1045,N13-1059,0
P05-1045,N13-1063,0
P05-1045,P06-1059,2
P05-1045,P06-1089,1
P05-1045,P06-1141,4
P05-1045,P06-2054,2
P05-1045,P08-1031,1
P05-1045,P08-2012,0
P05-1045,P08-4003,0
P05-1045,P09-1113,1
P05-1045,P09-2041,0
P05-1045,P10-1015,0
P05-1045,P10-1056,1
P05-1045,P10-1148,1
P05-1045,P10-2029,0
P05-1045,P10-2049,0
P05-1045,P11-1037,2
P05-1045,P11-1082,1
P05-1045,P11-1113,1
P05-1045,P11-1114,0
P05-1045,P11-3004,1
P05-1045,P12-1042,0
P05-1045,P12-1072,2
P05-1045,P12-1073,2
P05-1045,P12-1075,2
P05-1045,P12-1087,0
P05-1045,P12-1089,1
P05-1045,P12-2013,0
P05-1045,P12-2024,1
P05-1045,P12-2064,0
P05-1045,P12-2069,0
P05-1045,P12-3003,1
P05-1045,P12-3013,0
P05-1045,P13-1106,3
P05-1045,P13-1129,1
P05-1045,P13-1146,1
P05-1045,P13-1166,0
P05-1045,P13-2036,1
P05-1045,P13-2116,0
P05-1045,P13-2128,0
P05-1045,P13-2141,1
P05-1045,P13-4023,1
P05-1045,Q13-1028,0
P05-1045,S10-1020,1
P05-1045,S12-1035,0
P05-1045,S12-1082,1
P05-1045,S12-1085,0
P05-1045,S13-1010,0
P05-1045,S13-1014,1
P05-1045,S13-1018,0
P05-1045,S13-1021,0
P05-1045,S13-1023,0
P05-1045,W06-1643,3
P05-1045,W06-1655,4
P05-1045,W09-0422,0
P05-1045,W09-1119,0
P05-1045,W09-1218,1
P05-1045,W10-0725,0
P05-1045,W10-1902,1
P05-1045,W10-2420,1
P05-1045,W10-2906,0
P05-1045,W10-3102,0
P05-1045,W11-0219,0
P05-1045,W11-0810,0
P05-1045,W11-0902,2
P05-1045,W11-1513,1
P05-1045,W11-1723,1
P05-1045,W11-1907,1
P05-1045,W11-1908,1
P05-1045,W11-2202,3
P05-1045,W11-2705,0
P05-1045,W12-0102,0
P05-1045,W12-0103,0
P05-1045,W12-0604,0
P05-1045,W12-2007,1
P05-1045,W12-2408,1
P05-1045,W12-2903,0
P05-1045,W12-3109,0
P05-1045,W13-0905,0
P05-1045,W13-1101,0
P05-1045,W13-2114,0
P05-1045,W13-2234,0
P05-1045,W13-2414,1
P05-1045,W13-3516,0
P05-1045,W13-3616,0
P05-1045,W13-4008,0
